Sıra,İsim,Puan,Yorum Sayısı,Puan/Yorum,Adres,Maps URL,CID
1,Levermann Immobilien,5,22,5 (22),"Kampkoppel 8, 24811 Owschlag",N/A,N/A
2,Immobilienbörse Torsten Gerdom,4.4,25,4.4 (25),"Schulstraße 15C, 24817 Tetenhusen",N/A,N/A
3,Mertin Immobilien,5,40,5 (40),"Kurze Str. 10, 24784 Westerrönfeld",N/A,N/A
4,Ostseemakler GmbH Schleswig,3.8,12,3.8 (12),"Lollfuß 24, 24837 Schleswig",N/A,N/A
5,MEERSTADTLAND GmbH,4.9,294,4.9 (294),"Dorfstraße 20, 24805 Hamdorf",N/A,N/A
6,Erdmann Immobilien GmbH,4.8,18,4.8 (18),"Schleistraße 18, 24837 Schleswig",N/A,N/A
7,Jacobsen Immobilienagentur e.K.,5,34,5 (34),"Königstraße 31, 24837 Schleswig",N/A,N/A
8,Wohn- & Anlageimmobilien Lorenzen,5,8,5 (8),"Waterborger Weg 20, 24850 Lürschau",N/A,N/A
9,Thomas Schulze Immobilien,5,13,5 (13),"Erlenring 4a, 24340 Eckernförde",N/A,N/A
10,Baltic Home Immobilien,4.9,40,4.9 (40),"Fliederweg 10, 24340 Eckernförde",N/A,N/A
11,Liß Agentur,4.8,6,4.8 (6),"Werner-von-Siemens-Straße 52, 24783 Osterrönfeld",N/A,N/A
12,immoverkauf24 GmbH,3.9,119,3.9 (119),"Gasstraße 18, 22761 Hamburg",N/A,N/A
13,Pöschmann Immobilien,4.9,50,4.9 (50),"Bremswatt 2, 24392 Boren",N/A,N/A
14,Harald Schulz Immobilien,5,2,5 (2),,N/A,N/A
15,Starke.Immobilien - Immobilienmakler für Kiel und die Region,4.9,169,4.9 (169),"Dorfstraße 21, 24109 Melsdorf",N/A,N/A
16,ImmoJakscht GmbH,5,78,5 (78),"Feldstraße 11, 25746 Heide",N/A,N/A
17,VIB Vermittlungsgesellschaft mbH,4.8,16,4.8 (16),"Poststraße 24, 24589 Nortorf",N/A,N/A
18,tpunkt malz immobilien,4.9,99,4.9 (99),"Mühlenstraße 6, 24986 Mittelangeln",N/A,N/A
19,VON POLL IMMOBILIEN Neumünster,4.9,91,4.9 (91),"Großflecken 48, 24534 Neumünster",N/A,N/A
20,Clausen Immobilien GmbH,4.9,227,4.9 (227),"Bahnhofstraße 46, 24534 Neumünster",N/A,N/A
